,Title,Description,Text,Date,Language
0,Nansen raises $12M from a16z to help investors make sense of crypto markets,"While the ambitions of crypto investors have swelled even faster than the market has in recent months, institutional players have had a mountain of blockchain data to try to make sense of without particularly mature analytics products at their disposal. Block…","While the ambitions of crypto investors have swelled even faster than the market has in recent months, institutional players have had a mountain of blockchain data to try to make sense of without par… [+2313 chars]",2021-06-29T18:10:35Z,en
1,What we learned from selling a blockchain service to African governments,"Africa is a smaller addressable market. If you’re looking to pitch a product or service to governments, it’s helpful to keep in mind that your first customer might be from a smaller country.","A major attraction of Africa is its large population of 1.2 billion, which hints at a sizable addressable market. But what happens when your target audience is the governments of 54 countries?
In ou… [+5012 chars]",2021-07-19T20:49:20Z,en
2,"Crypto investors like Terraform Labs so much, they’re committing $150 million to its ‘ecosystem’","There are many blockchain platforms competing for investors’ and developers’ attention right now, from the big daddy of them all, Ethereum, to so-called “Ethereum Killers” like Solana, which we wrote about in May. Often, these technologies are seen as so prom…","There are many blockchain platforms competing for investors’ and developers’ attention right now, from the big daddy of them all, Ethereum, to so-called “Ethereum Killers” like Solana, which we wrote… [+2563 chars]",2021-07-16T16:00:55Z,en
3,Crypto startup Phantom banks funding from Andreessen Horowitz to scale its multi-chain wallet,"While retail investors grew more comfortable buying cryptocurrencies like Bitcoin and Ethereum in 2021, the decentralized application world still has a lot of work to do when it comes to onboarding a mainstream user base. Phantom is part of a new class of cry…","While retail investors grew more comfortable buying cryptocurrencies like Bitcoin and Ethereum in 2021, the decentralized application world still has a lot of work to do when it comes to onboarding a… [+2288 chars]",2021-07-14T19:09:01Z,en
4,Shopify allows merchants to sell NFTs directly through their storefronts,The NBA’s Chicago Bulls launched its first-ever NFTs –– including digital artwork of NBA championship rings –– by launching an online store on Shopify.,"Shopify has made it possible for eligible sellers to sell NFTs (non-fungible tokens) via its platform, which opens up a whole new world for e-commerce merchants.
On Monday, the NBAs Chicago Bulls la… [+2148 chars]",2021-07-27T16:43:40Z,en
5,Video of Berners-Lee’s $5.4M NFT hints another exists—with an error,"Animation is fixed, but is evidence of the typo still in the blockchain?","Enlarge/ Berners-Lee reflecting on the creation of the World Wide Web.
1 with 1 posters participating
Two weeks ago, World Wide Web creator Tim Berners-Lee sent an NFT of the webs original source c… [+3022 chars]",2021-07-01T17:13:44Z,en
6,Iced tea-to-blockchain pivot prompts SEC insider trading lawsuit - Reuters,"A U.S. regulator on Friday charged three men with insider trading ahead of Long Island Iced Tea Corp's announcement it would change its name to Long Blockchain Corp, and change its focus to blockchain from iced tea and lemonade, which caused its shares to soa…","File photo: The U.S. Securities and Exchange Commission headquarters in Washington, D.C. REUTERS/Andrew KellyNEW YORK, July 9 (Reuters) - A U.S. regulator on Friday charged three men with insider tra… [+1856 chars]",2021-07-09T19:20:00Z,en
7,Iced tea-to-blockchain pivot prompts SEC insider trading lawsuit - Reuters.com,"A U.S. regulator on Friday charged three men with insider trading ahead of Long Island Iced Tea Corp's announcement it would change its name to Long Blockchain Corp, and change its focus to blockchain from iced tea and lemonade, which caused its shares to soa…","NEW YORK (Reuters) - A U.S. regulator on Friday charged three men with insider trading ahead of Long Island Iced Tea Corps announcement it would change its name to Long Blockchain Corp, and change it… [+1718 chars]",2021-07-09T19:26:00Z,en
8,How Blockchain and Cryptocurrency Can Revolutionize Businesses,A brief overview of blockchain and cryptocurrency's various benefits and applications and how they can transform businesses.,"Opinions expressed by Entrepreneur contributors are their own.
The growth of blockchain and cryptocurrency has been skyrocketing for several years now, and the hype around it is not likely to end ve… [+7229 chars]",2021-07-17T17:00:00Z,en
9,Who Writes the Rules of a Blockchain?,Decentralized systems rely on decentralized governance. Enter the “governance token.”,"Decentralized systems rely on decentralized governance. Enter the “governance token.”
""&gt;
Dogecoin, the joke currency that minted millionaires overnight. CryptoKitties, the digital trading cards … [+7389 chars]",2021-07-23T12:05:12Z,en
10,How You Can Break into the Exciting New World of NFTs,Learn how the blockchain is changing the world of art security.,"Disclosure: Our goal is to feature products and services that we think you'll find interesting and useful. If you purchase them, Entrepreneur may get a small share of the revenue from the sale from o… [+1809 chars]",2021-07-21T13:00:00Z,en
11,Sir Tim Berners-Lee’s web source code NFT sells for $5.4 million,A token containing time-stamped files including source code written to render the web in 1991 has been sold at auction for more than $5 million.,"You cant buy the web, but someone bought this
If you buy something from a Verge link, Vox Media may earn a commission. See our ethics statement.
Photo by Noam Galai/Getty Images
The latest mega-au… [+2944 chars]",2021-06-30T20:15:43Z,en
12,Pop star Katy Perry is launching NFTs for her fans through a blockchain-based video streaming platform,"Katy Perry is launching NFTs with Theta Labs, a blockchain video streaming platform, as she is taps into the crypto-craze.","Katy Perry 'Play'
Ethan Miller
Katy Perry is launching a series of non-fungible tokens (NFTs) with Theta Labs, a blockchain video streaming platform, as she she joins the growing ranks of artists a… [+2375 chars]",2021-07-01T09:59:37Z,en
13,Why Energy Concerns Around Blockchain May Be a Misconception,"For those concerned about blockchain's energy consumption, it's important to consider the difference between proof-of-stake and proof-of-work blockchains.","Opinions expressed by Entrepreneur contributors are their own.
For business leaders that are on the fence about whether their company should use blockchain, conversations around blockchain’s energy … [+5531 chars]",2021-07-25T12:00:00Z,en
14,Oracle unit partners with Everest to bring blockchain to banks worldwide - Reuters,"Oracle Financial Services Software Ltd <a href=""https://www.reuters.com/companies/ORCL.NS"" target=""_blank"">(ORCL.NS)</a>, a unit of Oracle Corp <a href=""https://www.reuters.com/companies/ORCL.N"" target=""_blank"">(ORCL.N)</a>, has teamed up with financial techn…","The Oracle logo is shown on an office building in Irvine, California, U.S. June 28, 2018. REUTERS/Mike Blake/File PhotoNEW YORK, July 14 (Reuters) - Oracle Financial Services Software Ltd (ORCL.NS), … [+2520 chars]",2021-07-14T18:43:00Z,en
15,Oracle unit partners with Everest to bring blockchain to banks worldwide - Reuters,"Oracle Financial Services Software Ltd, a unit of Oracle Corp, has teamed up with financial technology provider Everest to bring blockchain to banks worldwide to enhance their product offerings, Everest Chief Executive and co-founder Bob Reid said.","NEW YORK (Reuters) - Oracle Financial Services Software Ltd, a unit of Oracle Corp, has teamed up with financial technology provider Everest to bring blockchain to banks worldwide to enhance their pr… [+2352 chars]",2021-07-14T18:46:00Z,en
16,Spain launches private-public technology fund of up to 4 bln euros - Reuters,"Spain on Monday announced the creation of a new capital risk fund set to raise up to 4 billion euros for public-private investment in technologies such as cloud services, big data, artificial intelligence and blockchain.","By Reuters Staff
MADRID, July 19 (Reuters) - Spain on Monday announced the creation of a new capital risk fund set to raise up to 4 billion euros for public-private investment in technologies such a… [+1349 chars]",2021-07-19T17:25:00Z,en
17,Crypto art about gender transition fetches $2.16 mln at Christie's - Reuters,"A Christie's auction of non-fungible tokens (NFTs) and physical artwork by 18-year-old transgender artist FEWOCiOUS fetched $2.16 million, Christie's said on Wednesday, the latest sign of appetite among art collectors for blockchain-based assets.","LONDON/NEW YORK, June 30 (Reuters) - A Christie's auction of non-fungible tokens (NFTs) and physical artwork by 18-year-old transgender artist FEWOCiOUS fetched $2.16 million, Christie's said on Wedn… [+1736 chars]",2021-07-01T19:28:00Z,en
18,Crypto art about gender transition fetches $2.16 mln at Christie's - Reuters,"A Christie's auction of non-fungible tokens (NFTs) and physical artwork by 18-year-old transgender artist FEWOCiOUS fetched $2.16 million, Christie's said on Wednesday, the latest sign of appetite among art collectors for blockchain-based assets.","LONDON/NEW YORK, June 30 (Reuters) - A Christies auction of non-fungible tokens (NFTs) and physical artwork by 18-year-old transgender artist FEWOCiOUS fetched $2.16 million, Christies said on Wednes… [+1678 chars]",2021-06-30T19:47:00Z,en
19,World Wide Web source code NFT sells for $5.4 million at Sotheby's - Reuters UK,"A blockchain-based token representing the original source code for the World Wide Web written by its inventor Tim Berners-Lee sold for $5.4 million at Sotheby's in an online auction on Wednesday, the auction house said.",LONDON (Reuters) - A blockchain-based token representing the original source code for the World Wide Web written by its inventor Tim Berners-Lee sold for $5.4 million at Sothebys in an online auction… [+2484 chars],2021-06-30T18:46:00Z,en
0,Ask HN: How aware are you about building decentralised software on blockchain?,Comments,"The HN attitude about blockchain is overwhelmingly negative.Yet what I see with smart contracts on blockchain, such as the Ethereum Virtual Machine, is a huge potential for change and a big open sea … [+1497 chars]",2021-07-06T15:48:30Z,fr
1,"Au Cambodge, la blockchain favorise l’inclusion bancaire",La plateforme de paiement créée par la Banque nationale devrait aussi réduire le recours au dollar.,La plateforme de paiement créée par la Banque nationale devrait aussi réduire le recours au dollar.Cest un paradoxe des économies en développement. Elles réalisent parfois des bonds technologiques qu… [+1162 chars],2021-07-14T18:56:04Z,fr
2,Actualité : Amazon se cherche un spécialiste des cryptomonnaies et de la blockchain,"Jusqu'à présent, l'ogre Amazon était resté à bonne distance de l'agitation liée aux cryptomonnaies. Une situation qui pourrait bien évoluer à l'avenir.","Repérée par Business Insider, une offre d'emploi mise en ligne par le géant Amazon suggère un intérêt de l'entreprise pour la blockchain en règle générale et les cryptomonnaies en particulier. La fir… [+1357 chars]",2021-07-26T09:04:00Z,fr
3,"Qu’est-ce qu'Axie Infinity (AXS), le jeu fondé sur la blockchain qui affole tous les compteurs ?","Acheter, combattre et élever d’adorables monstres ? C’est l’idée derrière Axie Infinity (AXS), le jeu blockchain le plus populaire du moment.","Axie Infinity est un jeu dont le gameplay pourrait être comparé à Pokémon ou à CryptoKitties. Il tourne autour de lélevage de créatures, baptisées «axies», qui possèdent un ensemble unique de compéte… [+754 chars]",2021-07-28T11:30:00Z,fr
