Date,Open,High,Low,Close,Volume
02-01-15,207.84,208.32,205.64,206.73,3400917
05-01-15,205.62,205.79,202.76,203.1,9582604
06-01-15,203.51,204.12,200.25,201.27,8019869
07-01-15,202.84,204.14,202.3,203.76,3563302
08-01-15,205.45,207.59,205.43,207.4,4683157
09-01-15,207.84,207.85,204.94,205.65,4395060
12-01-15,205.85,206.03,203.35,204.09,3501639
13-01-15,205.56,206.91,201.95,203.56,8469537
14-01-15,201.05,202.49,199.97,202.33,8016940
15-01-15,203.03,203.42,200.28,200.43,8726293
16-01-15,200.18,203.23,199.95,203,4981716
20-01-15,203.79,204.12,201.59,203.5,3629194
21-01-15,202.92,205.07,202.37,204.5,5354063
22-01-15,205.44,207.71,203.76,207.5,4845502
23-01-15,207.2,207.54,206.24,206.39,4819977
26-01-15,2.06E+02,207.01,205.29,206.94,3336107
27-01-15,204.44,205.55,203.15,204.16,5848855
28-01-15,205.63,205.72,201.33,201.52,6542832
29-01-15,201.73,203.72,200.08,203.45,7315835
30-01-15,2.02E+02,203.58,200.54,200.87,9675515
02-02-15,201.48,203.43,199.27,203.31,4535105
03-02-15,204.42,206.29,204,206.2,3616909
04-02-15,205.39,206.82,204.96,205.47,6147020
05-02-15,206.32,207.74,206.23,207.62,7029704
06-02-15,208.02,208.72,206.4,206.95,3844884
09-02-15,206.21,207.09,205.58,206.06,6166742
10-02-15,207.33,208.57,206.26,208.29,2888509
11-02-15,208.07,208.89,207.27,208.39,7154896
12-02-15,2.09E+02,210.45,209.15,210.33,4695590
13-02-15,210.51,211.31,210.24,211.28,3099412
17-02-15,210.89,211.8,210.59,211.66,2256054
18-02-15,211.13,211.7,210.82,211.62,2141045
19-02-15,210.92,211.9,210.72,211.45,2185177
20-02-15,210.94,212.8,210.23,212.74,4613532
23-02-15,212.44,212.71,211.97,212.67,2630549
24-02-15,212.62,213.55,212.27,213.31,2244874
25-02-15,213.16,213.74,212.73,213.15,2066072
26-02-15,213.06,213.19,212.16,212.91,4450288
27-02-15,212.77,213.09,212.15,212.21,3932454
02-03-15,212.27,213.56,212.25,213.56,8313906
03-03-15,212.97,213.07,211.57,212.6,3137341
04-03-15,211.91,211.97,210.55,211.71,4795770
05-03-15,212.11,212.28,211.35,211.93,2937453
06-03-15,210.9,211.42,208.56,208.98,6450166
09-03-15,209.18,210.24,209.1,209.85,2579302
10-03-15,208.17,208.23,206.4,206.42,4051452
11-03-15,206.74,206.94,205.83,205.98,2934089
12-03-15,206.7,208.63,206.63,208.55,4477444
13-03-15,208.2,208.39,206.01,207.27,4123506
16-03-15,208.17,210.15,208.14,210.14,3195576
17-03-15,209.21,209.89,208.45,209.43,3231859
18-03-15,208.87,212.76,208.08,211.9,5602452
19-03-15,211.45,211.78,210.52,210.99,3664674
20-03-15,212.12,213.45,212.04,212.85,3179386
23-03-15,212.86,213.53,212.44,212.5,2388432
24-03-15,212.22,212.82,211.15,211.17,4224094
25-03-15,210.47,210.77,207.11,207.19,4066678
26-03-15,206.35,207.74,205.5,206.68,4182590
27-03-15,206.53,207.33,206.29,207.1,2208557
30-03-15,208.79,209.99,208.35,209.62,3308807
31-03-15,208.64,209.49,207.76,207.83,3409719
01-04-15,207.77,207.78,205.88,207.18,6568343
02-04-15,207,2.08E+02,206.76,207.76,2798222
06-04-15,206.76,209.85,206.59,209.28,2648556
07-04-15,209.23,210.15,208.65,208.66,2247202
08-04-15,208.97,2.10E+02,208.46,209.41,2862471
09-04-15,209.2,210.57,208.6,210.33,2190436
10-04-15,210.59,211.49,210.37,211.43,1737824
13-04-15,211.31,212.03,210.46,210.46,1428769
14-04-15,210.27,211.11,209.49,210.83,2816249
15-04-15,211.48,212.45,211.35,211.91,2765912
16-04-15,211.46,212.38,211.21,211.81,3055824
17-04-15,210.37,210.62,208.4,209.36,4583743
20-04-15,210.48,211.65,210.38,211.28,2645015
21-04-15,212.1,212.26,210.66,211.06,2663850
22-04-15,211.44,212.26,210.32,212.08,2709328
23-04-15,211.58,213.37,211.45,212.61,3736631
24-04-15,213.07,213.39,212.52,213.08,1838471
27-04-15,213.77,213.88,211.95,212.24,2234807
28-04-15,212.16,212.92,210.75,212.82,4874311
29-04-15,211.75,212.71,211.03,211.99,3653277
30-04-15,211.3,211.76,209.02,209.85,3738025
01-05-15,210.81,212.19,210.7,212.12,2983091
04-05-15,212.65,213.42,212.53,212.8,1834448
05-05-15,212.43,212.85,210.13,210.34,2541738
06-05-15,210.94,211.33,208.15,209.47,3332906
07-05-15,209.31,210.76,208.92,210.29,5453223
08-05-15,212.28,213.28,212.22,213.03,5096908
11-05-15,213,213.3,211.94,212,4542503
12-05-15,211,212.04,210.02,211.35,3802869
13-05-15,211.92,212.64,211.14,211.43,2720815
14-05-15,212.7,213.75,212.34,213.69,2633259
15-05-15,213.89,214.03,213.3,213.91,3021804
18-05-15,213.7,214.86,213.62,214.54,3439970
19-05-15,214.7,215,214.12,214.5,1716115
20-05-15,214.59,215.23,213.95,214.29,1737964
21-05-15,214.17,215.18,213.95,214.91,1341273
22-05-15,214.47,214.98,214.35,214.46,1840932
26-05-15,213.84,213.94,211.63,212.13,3072606
27-05-15,212.7,214.42,212.28,214.16,2496302
28-05-15,213.77,214.03,213.05,213.88,2973833
29-05-15,213.8,213.86,212.25,212.58,3736032
01-06-15,213.35,213.77,212.05,212.95,3517018
02-06-15,212.45,213.6,211.68,212.78,2791523
03-06-15,213.39,214.1,212.76,213.38,3367411
04-06-15,212.49,213.19,211.16,211.66,2924062
05-06-15,211.3,211.98,210.38,211.19,2672404
08-06-15,211.05,211.2,209.78,209.89,2830230
09-06-15,209.91,210.47,209.1,2.10E+02,2582920
10-06-15,210.94,212.82,210.66,212.31,3308043
11-06-15,212.93,213.5,212.64,213.03,3437953
12-06-15,212.08,212.23,211.1,211.41,4895204
15-06-15,209.97,210.85,209.19,210.53,2909223
16-06-15,210.32,211.75,210.13,211.7,4033712
17-06-15,212.01,212.72,210.77,211.99,2363286
18-06-15,212.71,214.76,212.56,214.12,3004140
19-06-15,213.97,214.02,212.8,212.85,3267996
22-06-15,214.4,215.07,214.12,214.37,3093333
23-06-15,214.63,214.91,214.05,214.47,3273220
24-06-15,212.97,213.45,211.75,211.78,2056241
25-06-15,212.42,212.53,211.06,211.11,2986877
26-06-15,211.58,211.84,210.45,211.17,3169714
29-06-15,209.31,210.08,206.59,206.73,5559429
30-06-15,208.5,208.51,206.55,207.22,4765148
01-07-15,209.08,209.32,207.86,208.84,4942061
02-07-15,209.34,209.57,208.1,208.59,2880796
06-07-15,207.02,208.94,206.82,208.04,4563364
07-07-15,208.24,209.46,205.37,209.32,5829856
08-07-15,207.7,208.05,205.52,205.79,5093185
09-07-15,208.36,208.63,206.08,206.16,4401912
10-07-15,208.6,209.25,207.77,208.79,4358183
13-07-15,210.28,211.2,210.25,211.09,3189364
14-07-15,210.98,212.34,210.96,211.97,4364355
15-07-15,212.04,212.58,211.36,211.89,3262132
16-07-15,213.19,213.61,212.9,213.55,4311054
17-07-15,213.6,213.85,213.12,213.78,2326583
20-07-15,214.03,214.46,213.54,213.86,2361263
21-07-15,213.69,214,212.69,213.03,2928134
22-07-15,212.2,213.05,212.18,212.62,3078206
23-07-15,212.83,212.91,211.04,211.47,2800232
24-07-15,211.56,211.64,208.86,209.25,3545266
27-07-15,208.18,208.8,207.51,207.99,4497270
28-07-15,209.06,210.76,208.07,210.58,2766476
29-07-15,210.77,212.31,210.57,211.99,3765274
30-07-15,211.43,212.29,210.7,212.06,2181456
31-07-15,212.74,212.74,211.44,211.76,4473967
03-08-15,211.7,211.8,209.93,211.04,5257181
04-08-15,211,211.5,210.07,210.6,3046821
05-08-15,211.74,212.58,211,211.39,2820010
06-08-15,211.52,211.69,208.9,209.69,2999828
07-08-15,209.43,209.57,208.14,209.18,3556844
10-08-15,210.56,211.93,210.56,211.83,2173269
11-08-15,210.23,210.71,209.02,209.92,2778178
12-08-15,208.35,2.10E+02,206.63,210.12,4091156
13-08-15,210,210.81,209.28,209.91,2648068
14-08-15,209.7,210.76,209.52,210.63,2011763
17-08-15,209.94,211.87,209.4,211.87,2412955
18-08-15,211.56,211.94,210.97,211.27,1960575
19-08-15,210.38,211.28,208.6,209.57,5296638
20-08-15,207.79,208.39,205.12,205.12,8387687
21-08-15,203,204.12,198.69,198.81,14981008
24-08-15,188.51,196.96,147.21,190.52,13186349
25-08-15,196.51,196.94,188.04,188.28,8894650
26-08-15,193.24,195.88,189.47,195.68,13443461
27-08-15,198.25,200.56,196.34,200.49,9720131
28-08-15,199.66,200.99,199.09,200.48,5822569
31-08-15,199.35,200.29,198.18,198.75,7316479
01-09-15,194.28,195.88,191.83,192.73,12412106
02-09-15,195.78,196.59,193.54,196.54,8961896
03-09-15,197.4,199.21,196.08,196.71,9071325
04-09-15,194.01,194.95,192.71,193.66,7237091
08-09-15,197.06,198.75,196.31,198.67,6466732
09-09-15,200.44,200.63,195.46,195.91,7630415
10-09-15,195.69,198.37,195.38,196.96,4904836
11-09-15,196.44,197.95,195.66,197.92,3392341
14-09-15,198.06,198.15,196.56,197.15,2576620
15-09-15,197.83,200.15,197.23,199.62,4680917
16-09-15,199.92,201.59,199.6,201.41,5331559
17-09-15,201.15,204.05,200.49,200.9,8791612
18-09-15,1.98E+02,199.75,197.15,197.55,5983344
21-09-15,198.62,199.87,197.4,198.59,4907905
22-09-15,195.98,196.64,194.74,196.09,4986274
23-09-15,196.26,196.83,195.08,195.76,4726555
24-09-15,194.32,195.59,192.69,195.06,6846092
25-09-15,195.8,196.09,192.88,193.85,7237931
28-09-15,192.85,192.95,188.71,189.01,11841565
29-09-15,189.3,190.77,187.97,189.04,9002482
30-09-15,191.49,192.88,190.49,192.71,7919883
01-10-15,193.14,193.53,190.88,193.24,6009675
02-10-15,190.8,196.07,190.19,196.07,4667776
05-10-15,197.54,199.84,197.43,2.00E+02,4802757
06-10-15,199.42,200.08,198.09,198.87,4450993
07-10-15,200.05,2.01E+02,198.59,200.51,4975180
08-10-15,199.98,202.67,199.7,202.35,5945299
09-10-15,202.63,203.03,201.73,202.5,3299607
12-10-15,202.55,202.87,202.04,202.68,2128932
13-10-15,201.76,203.28,201.18,201.37,3841562
14-10-15,201.32,202,200.07,200.36,2526333
15-10-15,201.27,203.47,200.76,203.43,3016655
16-10-15,203.95,204.41,203.05,204.33,3678901
19-10-15,203.66,204.51,203.28,204.49,3960022
20-10-15,204.05,204.98,203.7,204.19,2440228
21-10-15,204.8,205.02,202.78,203,5138257
22-10-15,204.15,206.65,203.96,206.34,4176581
23-10-15,208.47,209.11,207.47,208.66,4272698
26-10-15,208.49,208.53,207.75,208.18,3308793
27-10-15,207.33,208.17,206.95,207.78,4240682
28-10-15,208.19,210.14,207.39,210.11,4517681
29-10-15,209.54,210.44,209.39,210,3383041
30-10-15,210.26,210.61,208.93,209.05,3971309
02-11-15,209.52,211.81,209.37,211.6,4297960
03-11-15,211.14,212.87,210.91,212.13,3078101
04-11-15,212.51,212.69,210.94,211.58,3355585
05-11-15,211.65,212.2,210.28,211.32,2726826
06-11-15,210.93,211.51,209.66,211.24,3182695
09-11-15,210.44,210.62,208.13,209.21,3548938
10-11-15,208.69,209.78,208.36,209.72,3550138
11-11-15,210.08,210.11,208.84,208.91,2044587
12-11-15,207.65,208.22,205.97,205.97,4299641
13-11-15,205.46,205.82,203.57,203.67,6866514
16-11-15,203.41,206.82,203.31,206.82,4713728
17-11-15,207.14,208.2,206.04,206.55,8068021
18-11-15,207.2,210.09,207.17,209.87,4701903
19-11-15,209.79,210.24,209.4,209.67,3369122
20-11-15,210.66,211.32,210.06,210.62,5014071
23-11-15,210.48,211.17,209.71,210.22,2329351
24-11-15,208.96,211.01,208.61,210.52,3222020
25-11-15,210.73,210.93,210.25,210.53,1886954
27-11-15,210.6,210.99,210.06,210.71,1062424
30-11-15,211,211.08,209.75,209.87,5284775
01-12-15,210.64,212.03,210.31,211.93,4190393
02-12-15,211.84,212.2,209.41,209.74,3847000
03-12-15,210.03,210.34,205.91,206.76,5916843
04-12-15,207.25,211.17,207.09,210.8,6690260
07-12-15,210.4,210.45,208.37,209.5,5875124
08-12-15,207.67,209.2,206.94,208.13,7065519
09-12-15,207.38,209.85,205.36,206.49,5733393
10-12-15,206.61,208.58,206.3,207.01,6195626
11-12-15,204.59,205.26,202.63,202.89,8088884
14-12-15,203.22,204.18,201.1,204.18,8135335
15-12-15,205.87,207.25,205.68,206.19,4734893
16-12-15,207.62,209.58,205.92,209.17,5650087
17-12-15,209.59,209.68,206,206.08,6569062
18-12-15,205.13,205.23,202.14,202.22,7050482
21-12-15,203.83,204.23,202.43,203.96,3705021
22-12-15,205.04,206.23,203.91,205.85,4574334
23-12-15,207.08,208.46,206.94,208.44,5300090
24-12-15,206.98,207.54,206.64,206.83,2254651
28-12-15,206.09,206.45,205.15,206.34,3710933
29-12-15,207.56,208.8,207.5,208.51,4690837
30-12-15,208.13,208.21,206.78,206.97,5213987
31-12-15,206.21,206.9,204.87,204.87,6230735
04-01-16,201.47,202.01,199.59,202,7440029
05-01-16,202.31,202.88,201.04,202.42,5262179
06-01-16,199.36,201.02,198.57,199.77,5496649
07-01-16,196.3,198.4,194.57,194.99,7545020
08-01-16,196.14,196.81,192.52,192.83,8904067
11-01-16,193.95,194.33,190.78,193.03,7486773
12-01-16,194.85,195.5,192.08,1.95E+02,5444573
13-01-16,195.35,195.81,189.3,189.79,7003893
14-01-16,190.48,194.2,188.57,192.8,6909885
15-01-16,187.64,189.69,186.46,188.74,8833230
19-01-16,190.8,191.01,187.12,188.84,7617183
20-01-16,185.93,188.41,181.9,186.65,10177864
21-01-16,187.11,189.79,185.58,187.62,8809568
22-01-16,190.71,191.67,189.82,191.49,4370066
25-01-16,190.86,191.08,188.34,188.57,4088357
26-01-16,189.36,191.44,188.94,191.13,4655716
27-01-16,190.61,192.5,187.98,189.08,5691601
28-01-16,190.9,191.1,188.08,190.11,5360422
29-01-16,190.94,194.69,190.82,194.62,7807559
01-02-16,193.47,195.53,192.8,194.6,6209893
02-02-16,192.94,192.94,190.48,191.09,7111303
03-02-16,192.39,192.72,188.05,192.11,7298290
04-02-16,191.71,193.69,190.93,192.53,4503008
05-02-16,191.96,192.02,188.14,188.85,5561289
08-02-16,186.68,187,183.72,186.31,8106441
09-02-16,184.21,187.87,184.11,186.24,5588277
10-02-16,187.3,189.24,186.04,186.15,3838217
11-02-16,183.18,184.96,182.02,183.83,5853818
12-02-16,185.84,187.58,184.87,187.55,3273457
16-02-16,189.76,190.74,188.56,190.67,3444485
17-02-16,192.12,194.28,191.97,193.83,3898120
18-02-16,194.2,194.25,192.69,193.05,3710156
19-02-16,192.13,193.14,191.42,192.93,2521674
22-02-16,194.85,195.93,194.79,195.72,2516967
23-02-16,195.02,195.28,193.16,193.34,2727393
24-02-16,191.59,194.5,190.27,194.22,2966002
25-02-16,194.71,196.56,193.82,196.5,2731477
26-02-16,197.58,197.68,195.89,196.15,4392591
29-02-16,196.14,197.25,194.42,194.51,5026000
01-03-16,196.02,199.21,195.47,199.19,5127912
02-03-16,198.72,200.09,198.28,200.07,4431253
03-03-16,199.79,200.83,199.14,200.78,3087166
04-03-16,201.08,202.4,200.1,201.48,3465651
07-03-16,200.41,202.12,200.29,201.68,3868482
08-03-16,200.37,200.96,199.25,199.38,3312406
09-03-16,200.39,200.8,199.45,200.41,3239368
10-03-16,201,202.11,198.46,200.52,3364515
11-03-16,202.32,203.88,202.2,203.84,2675542
14-03-16,203.25,204.13,202.85,203.56,4579794
15-03-16,202.44,203.28,202.12,203.22,4213307
16-03-16,202.64,204.9,202.59,204.52,3510360
17-03-16,204.35,206.33,203.86,205.81,1124330
18-03-16,206.38,206.94,205.96,206.57,6273239
21-03-16,206.25,207.11,205.96,206.87,4764836
22-03-16,205.92,207.4,205.73,206.75,4603541
23-03-16,205.13,205.36,204.05,204.3,2981091
24-03-16,203.05,204.2,202.77,204.18,3317898
28-03-16,204.67,204.88,203.75,204.31,2277456
29-03-16,203.81,206.26,203.43,206.26,3928366
30-03-16,207.33,207.91,206.65,207.13,2760851
31-03-16,206.96,207.45,206.38,206.65,4606166
01-04-16,205.41,208.2,205.05,207.97,4127493
04-04-16,207.92,208.13,206.95,207.29,3051460
05-04-16,205.75,206.27,204.93,205.26,3063143
06-04-16,205.34,207.54,205.02,207.48,2897086
07-04-16,206.22,206.59,204.13,204.97,7193924
08-04-16,206.38,206.88,204.92,205.58,2432437
11-04-16,206.3,207.11,204.95,205,2745521
12-04-16,205.27,207.32,204.75,207.02,2453338
13-04-16,208.05,209.16,207.91,209.1,3197726
14-04-16,209.14,209.66,208.68,209.12,2510761
15-04-16,209.12,209.17,208.48,208.79,2828450
18-04-16,208.2,210.35,208.07,210.31,3475034
19-04-16,210.81,211.28,210.02,210.95,3401041
20-04-16,211.03,212,210.48,211.11,2458814
21-04-16,211.21,211.33,209.73,210.06,2968975
22-04-16,209.64,210.35,209,210.03,3286351
25-04-16,209.37,209.69,208.61,209.66,2767578
26-04-16,210.13,210.6,209.45,210.01,2230842
27-04-16,209.51,210.9,209.14,210.4,2817237
28-04-16,2.10E+02,210.85,208.03,208.58,4416488
29-04-16,207.81,208.19,206.1,207.46,4362380
02-05-16,208.01,209.26,207.48,209.08,3478937
03-05-16,207.55,207.86,206.36,207.25,3407913
04-05-16,206.05,206.89,205.48,206.07,2469130
05-05-16,206.59,207.01,205.51,206.01,2173963
06-05-16,205.13,206.81,204.94,206.81,2383889
09-05-16,206.63,207.43,206.43,207.01,2841851
10-05-16,207.79,209.54,207.72,209.52,2889494
11-05-16,208.98,209.4,207.57,207.57,3116297
12-05-16,208.36,208.55,206.44,207.67,3348234
13-05-16,207.25,207.91,205.44,205.75,4859600
16-05-16,206,208.41,205.95,207.83,2636150
17-05-16,207.52,207.87,205.29,206,4338204
18-05-16,205.48,207.35,204.69,206.02,4255866
19-05-16,205.08,205.58,203.8,205.29,3841252
20-05-16,205.99,207.16,205.9,206.54,2658676
23-05-16,206.55,206.9,206.04,206.26,2118362
24-05-16,207.25,209.32,207.2,208.94,2616628
25-05-16,209.75,210.85,209.71,210.35,2453437
26-05-16,210.56,210.81,210.05,210.43,2022912
27-05-16,210.61,211.31,210.56,211.3,2489173
31-05-16,211.66,211.8,210.27,210.97,3590051
01-06-16,210.25,211.58,209.99,211.37,2874114
02-06-16,210.91,212.06,210.33,212.06,3646647
03-06-16,211.34,211.8,209.98,211.35,3327788
06-06-16,211.82,212.88,211.62,212.52,2977144
07-06-16,212.66,2.13E+02,212.62,212.77,2590501
08-06-16,212.94,213.64,212.81,213.45,1625136
09-06-16,212.62,213.35,212.32,2.13E+02,2154350
10-06-16,211.58,211.97,210.54,211.19,3254516
13-06-16,2.10E+02,211.48,209.44,209.52,3658985
14-06-16,209.12,209.83,208,209.14,4763735
15-06-16,209.63,210.44,208.6,208.77,3853602
16-06-16,207.81,209.66,206.65,209.45,3751273
17-06-16,209.32,209.38,207.9,208.66,3653497
20-06-16,210.99,211.79,209.91,210.04,4395478
21-06-16,209.47,210.07,208.96,209.62,2706192
22-06-16,209.82,210.69,209.11,209.27,3117293
23-06-16,210.99,212.02,210.46,212,2719760
24-06-16,204.83,208.06,203.88,204.49,15207468
27-06-16,202.75,202.77,199.79,200.63,8051379
28-06-16,202.64,204.38,202.27,204.38,7079774
29-06-16,206.01,208.1,205.89,207.8,7240162
30-06-16,208.41,210.72,207.74,210.5,6025630
01-07-16,210.55,211.69,210.54,211.13,4743663
05-07-16,210.14,210.27,208.9,209.64,6213255
06-07-16,209.02,210.99,208.25,210.84,6272518
07-07-16,211.07,211.84,209.84,210.66,3486483
08-07-16,212.24,214.15,212,213.86,3208431
11-07-16,214.42,215.28,214.18,214.67,3288070
12-07-16,215.77,216.53,215.49,216.18,4714606
13-07-16,216.67,216.7,215.59,2.16E+02,3845631
14-07-16,217.63,217.91,216.9,217.35,5336509
15-07-16,218.02,218.05,216.54,217.03,3687016
18-07-16,217.17,217.86,2.17E+02,217.63,4112802
19-07-16,217.18,217.46,216.88,217.39,1885712
20-07-16,217.99,218.6,217.47,218.31,1837112
21-07-16,218.19,218.47,216.99,217.52,1791991
22-07-16,217.65,2.19E+02,217.35,218.47,4733887
25-07-16,218.24,218.31,217.22,217.91,1702730
26-07-16,217.82,218.42,217,218,3090969
27-07-16,218.42,218.51,216.88,217.78,4742088
28-07-16,217.52,218.37,217,218.04,1844402
