Date,Open,High,Low,Close,Volume
02-01-15,69.65,69.65,68.99,69.31,4581
05-01-15,69.05,70.01,69.02,69.75,12847
06-01-15,69.72,69.72,68.91,69.2,10273
07-01-15,69.36,70.04,69.36,70.03,7773
08-01-15,70.23,71.04,70.23,70.76,16276
09-01-15,71,71.35,70.8,71.29,12507
12-01-15,71.02,71.59,70.64,70.93,11943
13-01-15,70.75,70.91,70.34,70.53,10537
14-01-15,70.84,71.16,70.4,70.63,19791
15-01-15,70.77,71.13,70.42,70.42,8738
16-01-15,70.19,70.38,69.59,69.93,16748
19-01-15,70.22,70.79,69.71,70.2,11924
20-01-15,69.73,69.94,69.5,69.77,8295
21-01-15,70.92,71.74,70.14,71.74,10214
22-01-15,71.7,71.7,70.86,70.97,44624
23-01-15,7.19E+01,73.1,71.63,73.1,32453
27-01-15,73.67,74.05,73.13,74.04,14645
28-01-15,73.64,73.94,73.33,73.66,16912
29-01-15,73.62,74.02,73.34,73.82,13097
30-01-15,7.42E+01,74.41,73.91,73.99,40025
02-02-15,73.95,74.99,73.95,74.43,9680
03-02-15,73.66,76.57,73.66,76.33,35264
04-02-15,77.92,78.37,75.45,76.14,19081
05-02-15,76.86,77.3,76.32,77.05,12478
06-02-15,77.03,78,76.69,76.82,46742
09-02-15,76.62,76.71,75.26,75.97,18684
10-02-15,76,76.43,75.33,76.3,13814
11-02-15,77.9,77.9,76.93,77.32,20907
12-02-15,7.79E+01,78.3,76.6,76.63,17923
13-02-15,77.27,77.93,77.27,77.48,11202
16-02-15,77.79,77.79,76.05,77,15864
17-02-15,76.68,76.74,75.71,75.77,14468
18-02-15,76.7,77.1,75.84,76.76,33260
19-02-15,76.8,76.8,75.4,75.56,19922
20-02-15,78,78,75.35,75.51,20062
23-02-15,75.55,76.66,75,76.5,16220
24-02-15,76.5,77.28,75.72,75.84,12388
25-02-15,75.9,76.98,75.87,76.62,14541
26-02-15,76.75,76.8,75.5,75.78,22283
27-02-15,75.8,76.42,75.73,76.42,9366
02-03-15,76.58,77.78,76.43,77.66,22999
03-03-15,78.67,78.67,77.14,77.78,19213
04-03-15,78.88,78.88,77.05,77.2,11522
05-03-15,77.69,77.78,76.34,76.9,7812
06-03-15,77,78.1,76.55,77.67,16498
09-03-15,76.88,77.1,74.54,74.7,18693
10-03-15,74.7,75.38,74.24,75.07,17449
11-03-15,75.64,75.85,74.53,75.85,15238
12-03-15,75.95,76.67,75.9,76.67,11179
13-03-15,77.02,77.02,75.81,75.95,14057
16-03-15,75.92,76.11,75.33,76.11,25281
17-03-15,77,77,75.17,75.17,18489
18-03-15,75.6,75.6,73.88,74.52,21482
19-03-15,75.99,76.7,75.81,76.7,14744
20-03-15,76.7,77,76.2,77,24030
23-03-15,77.1,77.42,76.66,77.22,17916
24-03-15,77.31,77.8,76.64,77.62,17692
25-03-15,78.8,79,76.92,76.93,13832
26-03-15,76.37,76.76,75.4,75.4,21390
