Date,Open,High,Low,Close,Volume
02-01-15,68.5,68.68,68,68.65,9754
05-01-15,68.53,69.06,68.53,68.65,25070
06-01-15,68.15,68.15,67.45,67.78,33475
07-01-15,68.49,68.49,67.24,67.69,20309
08-01-15,68,68.49,67.8,67.91,9775
09-01-15,68.92,69.29,68.56,69.29,25120
12-01-15,68.61,68.82,68.47,68.54,14917
13-01-15,68.2,68.35,67.89,68.21,17766
14-01-15,68.21,68.28,67.6,67.63,45559
15-01-15,67.63,67.63,67.04,67.37,26237
16-01-15,67.25,67.4,66.57,66.79,22328
19-01-15,67.94,67.94,67.03,67.14,28223
20-01-15,67.2,67.23,66.77,67.07,29859
21-01-15,67.5,68.05,67.5,68.05,18581
22-01-15,68.74,68.74,68.29,68.31,23389
23-01-15,6.91E+01,69.5,69.05,69.5,22342
27-01-15,69.78,70,69.48,70,48720
28-01-15,69.7,70.18,69.7,70.12,19880
29-01-15,69.95,70.37,69.78,70.31,18163
30-01-15,7.09E+01,70.91,70.6,70.67,51595
02-02-15,70.87,71.18,70.68,71.09,53632
03-02-15,71.46,72.15,71.08,72.07,66229
04-02-15,72.77,73.32,72.41,72.84,116123
05-02-15,73.11,73.44,72.71,73.34,92809
06-02-15,73.34,73.86,73.3,73.5,48210
09-02-15,73.41,73.41,72.91,73.19,61072
10-02-15,73.7,73.7,72.98,73.14,23954
11-02-15,73.86,73.86,72.7,72.86,45576
12-02-15,7.34E+01,73.45,72.5,72.6,24107
13-02-15,72.9,74.41,72.9,74.24,57150
16-02-15,74.1,74.55,73.79,74.4,32629
17-02-15,74.76,74.76,73.97,74.75,29594
18-02-15,74.93,74.93,74.23,74.93,18990
19-02-15,74.99,75.35,74.6,74.83,18808
20-02-15,74.8,74.83,74.2,74.2,22207
23-02-15,74.83,74.95,74.31,74.85,34538
24-02-15,75,75.2,74.64,75.13,35705
25-02-15,75.4,75.68,75.23,75.55,17286
26-02-15,75.71,75.74,75.02,75.06,40440
27-02-15,75.3,75.55,74.79,75.55,80443
02-03-15,75.62,76.18,75.62,75.85,55184
03-03-15,76.2,76.32,75.15,75.63,36434
04-03-15,76.26,76.26,75.15,75.37,30011
05-03-15,75.36,75.44,74.82,75.07,13922
06-03-15,75.43,75.51,74.9,75.47,30691
09-03-15,74.83,74.83,74.08,74.21,45508
10-03-15,74.32,74.61,74.14,74.16,28649
11-03-15,73.84,74.14,73.42,73.89,49679
12-03-15,74.21,75.01,73.89,75.01,31922
13-03-15,75,75,74.1,74.19,49733
16-03-15,74.22,74.23,73.66,74.16,46958
17-03-15,74.87,74.89,74.56,74.62,21124
18-03-15,74.71,74.71,73.96,74.6,34090
19-03-15,74.89,76.11,74.89,75.94,27071
20-03-15,76.11,76.5,75.8,76.5,64329
23-03-15,76.5,76.84,76.11,76.2,38910
24-03-15,76.21,76.53,76.18,76.33,26876
25-03-15,76.25,76.61,76.23,76.27,25078
26-03-15,76,76.02,75.25,75.32,57342
27-03-15,75.39,75.89,75.32,75.66,13030
30-03-15,75.43,75.43,74.55,74.83,46473
31-03-15,75.3,75.88,75.3,75.42,62952
01-04-15,75.75,7.58E+01,74.07,74.32,28963
02-04-15,74.67,74.9,74.45,74.9,17256
07-04-15,75.13,75.85,74.85,74.97,46362
08-04-15,75.39,7.56E+01,75.26,75.51,45059
09-04-15,75.8,75.83,75.19,75.25,23315
10-04-15,75.66,75.66,75.1,75.58,23015
13-04-15,76,76.09,75.6,75.6,24985
14-04-15,75.6,75.6,75.25,75.35,19145
15-04-15,75.6,75.88,74.69,74.91,45359
16-04-15,75.94,75.94,75.2,75.32,27830
17-04-15,75.4,75.43,74.42,74.5,24526
20-04-15,74.36,74.38,73.66,74.01,32076
21-04-15,74.3,74.9,74.2,74.39,20993
22-04-15,74.66,74.66,73.75,74.31,27072
23-04-15,74.4,74.41,73.94,73.95,561402
24-04-15,74.5,75.26,74.5,75.08,23409
27-04-15,75.87,75.88,75.6,75.74,17543
28-04-15,75.9,76,75.3,75.3,33476
29-04-15,75.45,75.45,74,74,21812
30-04-15,73.72,74,72.91,73.4,54296
01-05-15,73.7,73.86,73.24,73.79,22304
04-05-15,73.96,74.16,73.42,73.85,40880
06-05-15,73.25,73.3,72.27,72.33,78735
07-05-15,71.54,71.95,71.28,71.82,68142
08-05-15,72,72.41,71.68,72.19,45697
11-05-15,72.5,72.92,71.5,71.5,39413
12-05-15,72.95,72.95,71.6,72.06,29812
13-05-15,72.06,72.81,72.06,72.74,20110
14-05-15,72.79,72.82,72.18,72.34,65205
15-05-15,73,73.31,72.8,73.02,26886
18-05-15,73.68,73.68,72.3,72.31,49128
19-05-15,72.78,72.78,71.72,71.75,50614
20-05-15,71.75,71.85,71.18,71.59,60284
21-05-15,71.85,72.33,71.76,72.2,26233
22-05-15,72.79,72.79,72.22,72.26,20302
25-05-15,72.55,73.21,72.45,72.95,25097
26-05-15,73.28,73.98,73.18,73.98,28888
27-05-15,73.51,73.59,72.95,73.05,74106
