Date,Open,High,Low,Close,Volume
02-01-15,43.5,43.5,42.82,43.04,6806
05-01-15,43.28,43.29,43.17,43.17,1041
06-01-15,42.53,42.53,42.33,42.33,727
07-01-15,42.33,42.33,42.1,42.1,1018
08-01-15,42.38,42.55,42.38,42.55,1090
09-01-15,42.71,43.07,42.71,43.07,530
12-01-15,43,43,42.83,42.83,509
13-01-15,42.43,42.63,42.4,42.58,2858
14-01-15,42.56,42.58,42.17,42.17,1476
15-01-15,42.08,42.08,41.7,41.97,1694
16-01-15,41.73,41.73,41.31,41.46,3746
19-01-15,41.93,41.93,41.48,41.56,1405
20-01-15,41.4,41.46,41.2,41.46,854
21-01-15,41.45,41.98,41.45,41.89,1612
22-01-15,42.28,42.28,41.98,41.98,2219
23-01-15,4.24E+01,42.51,42.4,42.51,636
27-01-15,42.9,42.91,42.9,42.91,1051
28-01-15,42.85,42.85,42.59,42.8,1344
29-01-15,42.55,42.86,42.32,42.86,1419
30-01-15,4.31E+01,43.12,42.97,43.12,4107
02-02-15,43.14,43.16,43.12,43.16,650
03-02-15,43.53,43.75,43.44,43.75,3886
04-02-15,44.07,44.42,44.07,44.28,1837
05-02-15,44.2,44.56,44.2,44.56,700
06-02-15,44.75,44.82,44.63,44.82,3082
09-02-15,44.82,44.82,44.54,44.65,3553
10-02-15,44.71,44.79,44.7,44.79,331
11-02-15,45.05,45.05,44.93,44.93,6591
12-02-15,4.49E+01,44.87,44.71,44.71,720
13-02-15,45.3,45.71,45.3,45.64,4602
16-02-15,45.96,45.96,45.55,45.8,9689
17-02-15,45.7,45.7,45.51,45.51,2790
18-02-15,45.9,45.91,45.9,45.91,1454
19-02-15,46.03,46.1,45.78,45.9,1260
20-02-15,46,46,45.71,45.74,3213
23-02-15,45.97,45.97,45.69,45.75,591
24-02-15,45.94,45.94,45.92,45.92,1790
25-02-15,46,46.25,46,46.25,1941
26-02-15,46.3,46.3,46.06,46.18,3518
27-02-15,46.25,46.43,46.25,46.43,1071
02-03-15,46.61,46.62,46.47,46.48,5057
03-03-15,46.69,46.69,46.08,46.2,2310
04-03-15,46.25,46.25,46.13,46.18,704
05-03-15,46.36,46.36,45.95,46.29,909
06-03-15,45.97,46.01,45.97,46.01,106
09-03-15,46,46,45.5,45.5,1297
10-03-15,45.49,45.58,45.28,45.28,5728
11-03-15,45,45.29,44.93,45.29,995
12-03-15,45.47,45.87,45.43,45.8,3117
13-03-15,45.94,45.94,45.8,45.91,3536
16-03-15,45.88,45.88,45.49,45.69,3436
17-03-15,45.42,45.42,45.42,45.42,439
18-03-15,45.18,45.3,45.11,45.3,1440
19-03-15,45.82,46.13,45.82,46.02,1525
20-03-15,46.12,46.24,46.06,46.24,35503
23-03-15,46.25,46.26,46.1,46.15,17489
24-03-15,46.29,46.55,46.29,46.55,597
25-03-15,46.72,46.73,46.44,46.49,6586
26-03-15,45.83,45.83,45.72,45.75,518
27-03-15,45.55,46.24,45.55,46.09,2001
30-03-15,46.16,46.16,45.58,45.58,17341
31-03-15,46.04,46.26,46.04,46.26,700
01-04-15,45.8,4.58E+01,45.7,45.7,875
02-04-15,46.08,46.14,45.99,46.14,302
07-04-15,46.07,46.46,46,46,1269
08-04-15,46.1,4.66E+01,46.1,46.58,1641
09-04-15,46.72,46.72,46.49,46.58,7445
10-04-15,46.6,46.69,46.57,46.57,1577
13-04-15,46.8,46.94,46.8,46.8,2349
14-04-15,46.58,46.7,46.48,46.48,315992
15-04-15,46.45,46.45,46.33,46.4,3358
16-04-15,46.9,47,46.9,47,375
17-04-15,46.86,46.89,46.36,46.36,7388
20-04-15,45.6,45.76,45.6,45.73,1494
21-04-15,46.25,46.25,46.02,46.02,2305
22-04-15,46.04,46.05,46.04,46.04,3058
23-04-15,46.15,46.15,45.9,45.97,61720
24-04-15,46.2,46.83,46.2,46.83,2467
27-04-15,47.05,47.25,47.01,47.25,945
28-04-15,47.17,47.2,47.05,47.12,3233
29-04-15,47,47.09,46.5,46.52,4053
30-04-15,46.03,46.15,45.99,46.15,1964
01-05-15,46.01,46.44,46.01,46.44,3299
04-05-15,46.78,46.89,46.76,46.76,1950
06-05-15,46.48,46.52,46.26,46.28,5189
07-05-15,45.74,45.88,45.66,45.84,16532
08-05-15,46.16,46.18,45.95,45.95,441
11-05-15,46.11,46.16,45.96,46.15,7740
12-05-15,46.03,46.13,46.03,46.08,5283
13-05-15,46.45,46.64,46.45,46.64,290
14-05-15,46.6,46.6,46.6,46.6,239
15-05-15,47.12,47.13,46.99,46.99,5319
18-05-15,47.26,47.26,46.82,46.82,2240
19-05-15,46.83,46.83,46.3,46.32,4608
20-05-15,46.18,46.23,46.11,46.22,9457
21-05-15,46.18,46.65,46.18,46.65,690
22-05-15,46.61,46.97,46.61,46.81,738
25-05-15,46.9,47.16,46.9,47.02,1688
26-05-15,47.31,47.39,47.22,47.34,2031
27-05-15,47.19,47.2,46.99,47.05,1068
28-05-15,46.81,46.89,46.81,46.89,255
29-05-15,47.36,47.43,47.36,47.4,2362
01-06-15,47,47,46.6,46.84,1433
02-06-15,47,47,46.3,46.3,1011
03-06-15,45.88,45.92,45.6,45.78,2090
04-06-15,45.78,45.78,44.99,45,1646
05-06-15,45,45.08,44.99,45.02,1722
09-06-15,45.3,45.3,44.89,44.89,642
10-06-15,44.84,45,44.84,4.49E+01,4991
11-06-15,45.02,45.53,45.02,45.5,1509
12-06-15,45.5,45.5,45.36,45.37,2563
15-06-15,45.31,45.31,45,45.06,3928
16-06-15,45.23,45.25,44.8,44.8,7167
